Date,FX
1-10-2013,1.352521
2-10-2013,1.352338
3-10-2013,1.359102
4-10-2013,1.362416
7-10-2013,1.356999
8-10-2013,NaN
9-10-2013,1.359804
10-10-2013,1.352027
11-10-2013,1.352667
14-10-2013,1.355675
15-10-2013,1.355859
16-10-2013,1.352174
17-10-2013,1.352247
18-10-2013,1.366699
21-10-2013,1.368195
22-10-2013,1.367596
23-10-2013,1.377847
24-10-2013,1.378094
25-10-2013,1.380396
28-10-2013,1.380529
29-10-2013,1.37893
30-10-2013,1.374306
31-10-2013,1.372401
1-11-2013,1.357976
4-11-2013,1.3494
5-11-2013,1.351698
6-11-2013,1.347309
7-11-2013,1.351808
8-11-2013,1.340914
11-11-2013,1.334793
12-11-2013,1.340932
13-11-2013,1.343996
14-11-2013,1.348963
15-11-2013,1.344899
18-11-2013,1.348399
19-11-2013,1.350439
20-11-2013,1.356742
21-11-2013,1.343382
22-11-2013,1.347182
25-11-2013,1.355234
26-11-2013,1.352759
27-11-2013,1.356779
28-11-2013,1.357368
29-11-2013,1.360396
2-12-2013,1.358511
3-12-2013,1.354206
4-12-2013,1.359065
5-12-2013,1.35864
6-12-2013,1.366998
9-12-2013,1.370652
10-12-2013,1.374023
11-12-2013,1.376444
12-12-2013,1.378607
13-12-2013,1.375081
16-12-2013,1.373928
17-12-2013,1.376292
18-12-2013,1.377126
19-12-2013,1.368495
20-12-2013,1.365579
23-12-2013,1.367839
24-12-2013,1.369994
25-12-2013,1.368195
26-12-2013,1.366848
27-12-2013,1.369619
30-12-2013,1.375024
31-12-2013,1.381006
1-1-2014,1.374495
2-1-2014,1.376671
3-1-2014,1.366662
6-1-2014,1.359601
7-1-2014,1.363196
8-1-2014,1.361637
9-1-2014,1.357202
10-1-2014,1.360711
13-1-2014,1.367185
14-1-2014,1.366998
15-1-2014,1.366848
16-1-2014,1.359934
17-1-2014,1.361804
20-1-2014,1.352759
21-1-2014,1.354903
22-1-2014,1.355914
23-1-2014,1.354224
24-1-2014,1.368907
27-1-2014,1.368794
28-1-2014,1.367465
29-1-2014,1.365505
30-1-2014,1.365859
31-1-2014,1.355877
3-2-2014,1.348818
4-2-2014,1.352503
5-2-2014,1.351589
6-2-2014,1.35351
7-2-2014,1.359213
10-2-2014,1.361934
11-2-2014,1.36461
12-2-2014,1.363903
13-2-2014,1.35901
14-2-2014,1.367877
