Date,BTC
1-10-2013,123.65499
2-10-2013,125.455
3-10-2013,108.58483
4-10-2013,118.67466
5-10-2013,121.33866
6-10-2013,120.65533
7-10-2013,121.795
8-10-2013,123.033
9-10-2013,124.049
10-10-2013,125.96116
11-10-2013,125.27966
12-10-2013,125.9275
13-10-2013,126.38333
14-10-2013,135.24199
15-10-2013,133.20333
16-10-2013,142.76333
17-10-2013,137.92333
18-10-2013,142.95166
19-10-2013,152.55183
20-10-2013,160.33883
21-10-2013,164.31499
22-10-2013,177.63333
23-10-2013,188.29716
24-10-2013,200.70166
25-10-2013,180.355
26-10-2013,175.03166
27-10-2013,177.6965
28-10-2013,187.15983
29-10-2013,192.75666
30-10-2013,197.4
31-10-2013,196.02499
1-11-2013,198.04883
2-11-2013,198.93233
3-11-2013,200.543
4-11-2013,210.3075
5-11-2013,225.02
6-11-2013,248.25333
7-11-2013,262.32666
8-11-2013,294.48699
9-11-2013,331.10325
10-11-2013,285.8875
11-11-2013,304.97974
12-11-2013,338.137
13-11-2013,357.48
14-11-2013,402.954
15-11-2013,409.10375
16-11-2013,420.21649
17-11-2013,437.29725
18-11-2013,510.6025
19-11-2013,693.65
20-11-2013,531.54249
21-11-2013,574.71599
22-11-2013,681.33
23-11-2013,774.18
24-11-2013,746.19374
25-11-2013,768.8475
26-11-2013,789.36475
27-11-2013,893.1815
28-11-2013,934.355
29-11-2013,1068.363
30-11-2013,1154.92593
1-12-2013,1099.51926
2-12-2013,1019.78966
3-12-2013,1028.845
4-12-2013,1071.2848
5-12-2013,1139.33083
6-12-2013,1004.61633
7-12-2013,759.43041
8-12-2013,689.81
9-12-2013,841.83966
10-12-2013,916.77599
11-12-2013,967.42866
12-12-2013,866.29003
13-12-2013,911.23204
14-12-2013,889.81946
15-12-2013,848.9975
16-12-2013,868.95316
17-12-2013,653.80483
18-12-2013,654.06266
19-12-2013,553.69166
20-12-2013,693.05883
21-12-2013,649.38965
22-12-2013,595.95883
23-12-2013,647.68316
24-12-2013,671.58116
25-12-2013,659.84333
26-12-2013,702.00083
27-12-2013,758.01016
28-12-2013,734.01166
29-12-2013,717.92623
30-12-2013,752.82022
31-12-2013,744.17249
1-1-2014,768.40783
2-1-2014,769.09849
3-1-2014,804.02719
4-1-2014,813.31748
5-1-2014,871.11583
6-1-2014,970.65083
7-1-2014,962.46447
8-1-2014,855.75933
9-1-2014,860.84166
10-1-2014,847.5325
11-1-2014,892.26115
12-1-2014,916.69666
13-1-2014,873.27168
14-1-2014,863.69888
15-1-2014,853.25666
16-1-2014,874.07416
17-1-2014,842.19173
18-1-2014,834.86666
19-1-2014,838.42916
20-1-2014,881.87583
21-1-2014,873.28916
22-1-2014,874.13266
23-1-2014,864.56116
24-1-2014,838.14997
25-1-2014,834.57416
26-1-2014,858.12641
27-1-2014,887.08337
28-1-2014,830.53133
29-1-2014,832.89496
30-1-2014,832.87399
31-1-2014,841.48914
1-2-2014,847.36383
2-2-2014,854.7225
3-2-2014,856.03366
4-2-2014,847.70697
5-2-2014,844.28836
6-2-2014,802.75333
7-2-2014,748.43559
8-2-2014,692.66914
9-2-2014,668.86463
10-2-2014,700.44843
11-2-2014,694.3125
12-2-2014,665.7975
13-2-2014,645.615
14-2-2014,578.4125
15-2-2014,641.91
16-2-2014,656.2725
17-2-2014,611.04499
18-2-2014,634.99
19-2-2014,618.79
20-2-2014,619.8425
21-2-2014,545.7625
22-2-2014,561.535
23-2-2014,622.22
24-2-2014,572.7675
25-2-2014,501.155
26-2-2014,550.6025
27-2-2014,573.1025
28-2-2014,567.2925
1-3-2014,551.73
2-3-2014,560.195
3-3-2014,567.7
4-3-2014,666.1475
5-3-2014,660.84
6-3-2014,662.0225
7-3-2014,651.285
8-3-2014,612.33
9-3-2014,611.1625
10-3-2014,637.615
11-3-2014,626
12-3-2014,633.74749
13-3-2014,631.755
14-3-2014,636.41414
15-3-2014,628.18751
16-3-2014,632.95333
17-3-2014,630.34833
18-3-2014,617.24333
19-3-2014,616.86665
20-3-2014,601.015
21-3-2014,581.33333
22-3-2014,570.36168
23-3-2014,562.95333
24-3-2014,557.16833
25-3-2014,573.34998
26-3-2014,572.49161
27-3-2014,570.54833
28-3-2014,509.70665
29-3-2014,499.24998
30-3-2014,486.80845
31-3-2014,472.4783
1-4-2014,464.88
2-4-2014,480.16581
3-4-2014,427.87498
4-4-2014,432.99716
5-4-2014,453.87148
6-4-2014,462.445
7-4-2014,456.46948
8-4-2014,452.81
9-4-2014,450.48083
10-4-2014,426.98333
11-4-2014,374.59166
12-4-2014,438.24666
13-4-2014,423.51566
14-4-2014,409.03166
15-4-2014,455.28316
16-4-2014,517.09666
17-4-2014,522.455
18-4-2014,490.8785
19-4-2014,469.38332
20-4-2014,507.80663
21-4-2014,505.09665
22-4-2014,497.65001
23-4-2014,487.84
24-4-2014,487.11333
25-4-2014,469.08816
26-4-2014,448.77834
27-4-2014,452.14829
28-4-2014,426.78166
29-4-2014,432.60498
30-4-2014,444.85668
1-5-2014,454.55666
2-5-2014,453.59833
3-5-2014,441.97833
4-5-2014,438.29035
5-5-2014,432.78748
6-5-2014,418.61831
7-5-2014,428.42593
8-5-2014,442.57666
9-5-2014,439.04
10-5-2014,449.04333
11-5-2014,449.74166
12-5-2014,434.27
13-5-2014,437
14-5-2014,438.88
15-5-2014,445.045
16-5-2014,443.18
17-5-2014,445.60666
18-5-2014,445.15666
19-5-2014,444.73833
20-5-2014,455.65333
21-5-2014,489.86999
22-5-2014,490.18666
23-5-2014,522.31
24-5-2014,512.30833
25-5-2014,533.92999
26-5-2014,579.59333
27-5-2014,581.51
28-5-2014,572.44833
29-5-2014,562.4
30-5-2014,571.845
31-5-2014,612.12666
1-6-2014,638.16333
2-6-2014,634.98333
3-6-2014,660.24666
4-6-2014,627.79833
5-6-2014,642.89166
6-6-2014,652.52666
7-6-2014,648.60166
8-6-2014,652.59166
9-6-2014,652.11
10-6-2014,644.085
11-6-2014,642.00666
12-6-2014,632.55
13-6-2014,585.48333
14-6-2014,588.52333
15-6-2014,570.28833
16-6-2014,589.06666
17-6-2014,592.25666
18-6-2014,610.41333
19-6-2014,601.88666
20-6-2014,594.09333
21-6-2014,582.04499
22-6-2014,599.57
23-6-2014,592.405
24-6-2014,584.64166
25-6-2014,575.905
26-6-2014,571.76666
27-6-2014,582.43166
28-6-2014,597.66833
29-6-2014,598.73333
30-6-2014,597.51333
1-7-2014,647.12249
2-7-2014,637.85625
3-7-2014,642.65125
4-7-2014,643.95124
5-7-2014,628.41625
6-7-2014,631.03
7-7-2014,631.29875
8-7-2014,621.24249
9-7-2014,620.72
10-7-2014,621.3075
11-7-2014,616.83124
12-7-2014,634.35749
13-7-2014,627.69
14-7-2014,621.42499
15-7-2014,618.73875
16-7-2014,619.8075
17-7-2014,614.68875
18-7-2014,623.49749
19-7-2014,623.99625
20-7-2014,623.00625
21-7-2014,617.96124
22-7-2014,622.10749
23-7-2014,618.4475
24-7-2014,617.6875
25-7-2014,602.93125
26-7-2014,597.585
27-7-2014,592.96375
28-7-2014,580.11
29-7-2014,585.44875
30-7-2014,580.5175
31-7-2014,564.57
1-8-2014,583.39
2-8-2014,593.80625
3-8-2014,581.52
4-8-2014,585.80125
5-8-2014,582.33375
6-8-2014,582.52125
7-8-2014,583.62375
8-8-2014,595.80875
9-8-2014,585.39625
10-8-2014,586.05875
11-8-2014,588.7525
12-8-2014,566.31625
13-8-2014,565.55125
14-8-2014,534.54
15-8-2014,511.4725
16-8-2014,487.56625
17-8-2014,516.62625
18-8-2014,489.4675
19-8-2014,455.91625
20-8-2014,472.91
21-8-2014,519.015
22-8-2014,508.12875
23-8-2014,507.51
24-8-2014,501.63125
25-8-2014,503.32125
26-8-2014,504.62625
27-8-2014,513.39125
28-8-2014,514.62375
29-8-2014,506.025
30-8-2014,504.70625
31-8-2014,502.055
1-9-2014,474.5425
2-9-2014,477.98375
3-9-2014,476.88375
4-9-2014,475.65
5-9-2014,485.65125
6-9-2014,480.9075
7-9-2014,481.88375
8-9-2014,473.58625
9-9-2014,468.5775
10-9-2014,474.29125
11-9-2014,479.4175
12-9-2014,473.6725
13-9-2014,471.5325
14-9-2014,475.37875
15-9-2014,475.02125
16-9-2014,471.08375
17-9-2014,464.55375
18-9-2014,449.95875
19-9-2014,425.4475
20-9-2014,410.08
21-9-2014,405.79625
22-9-2014,399.0975
23-9-2014,399.5025
24-9-2014,427.8125
25-9-2014,416.12
26-9-2014,410.15
27-9-2014,403.4975
28-9-2014,398.84
29-9-2014,377.97875
30-9-2014,376.08375
1-10-2014,387.94
2-10-2014,381.7475
3-10-2014,372.0575
4-10-2014,360.7525
5-10-2014,335.98125
6-10-2014,308.07875
