Date,STOXX,BTC,LIBOR,SP500
1-10-2013,312.859985,123.65498999999998,0.105,1655.45
2-10-2013,310.790009,125.455,0.1051,1656.4
3-10-2013,309.549988,108.58483000000001,0.1032,1676.12
4-10-2013,309.890015,118.67466,0.1013,1678.66
7-10-2013,309.179993,121.795,0.1022,1690.5
8-10-2013,306.839996,123.03299999999999,0.1018,1692.56
9-10-2013,305.130005,124.04899999999999,0.1022,1693.87
10-10-2013,310.290009,125.96116,0.1065,1695.0
11-10-2013,311.609985,125.27966,0.1038,1698.06
14-10-2013,312.22000099999997,135.24199,NaN,1703.2
15-10-2013,314.820007,133.20333,0.1048,1710.14
16-10-2013,315.549988,142.76333,0.1069,1721.54
17-10-2013,315.980011,137.92333,0.1077,1733.15
18-10-2013,318.47000099999997,142.95166,0.109,1741.89
21-10-2013,319.540009,164.31499,0.1066,1744.5
22-10-2013,320.97000099999997,177.63333,0.1051,1744.66
23-10-2013,318.98999,188.29716000000002,0.1051,1746.38
24-10-2013,320.380005,200.70166,0.1026,1747.15
25-10-2013,320.089996,180.355,0.1024,1751.64
28-10-2013,319.48999,187.15983,0.1033,1752.07
29-10-2013,320.769989,192.75666,0.1035,1754.67
30-10-2013,320.799988,197.4,0.1024,1755.2
31-10-2013,322.369995,196.02499,0.1037,1756.54
1-11-2013,321.5,198.04883,0.0999,1759.77
4-11-2013,322.5,210.3075,0.1014,1761.64
5-11-2013,321.890015,225.02,0.1024,1762.11
6-11-2013,323.26001,248.25332999999998,0.1023,1762.97
7-11-2013,323.230011,262.32666,0.1017,1763.31
8-11-2013,322.72000099999997,294.48699,0.1021,1767.69
11-11-2013,323.570007,304.97974,NaN,1767.93
12-11-2013,321.679993,338.13699999999994,0.1006,1770.49
13-11-2013,319.820007,357.48,0.1012,1770.61
14-11-2013,322.429993,402.954,0.1017,1771.89
15-11-2013,323.0,409.10375,0.1049,1771.95
18-11-2013,324.700012,510.6025,0.1063,1773.43
19-11-2013,322.559998,693.65,0.1037,1774.2
20-11-2013,322.910004,531.54249,0.1036,1775.32
21-11-2013,322.420013,574.71599,0.1031,1775.5
22-11-2013,322.769989,681.33,0.1028,1781.0
25-11-2013,324.179993,768.8475,0.1041,1781.37
26-11-2013,322.23999,789.36475,0.1033,1781.56
27-11-2013,324.040009,893.1815,0.1029,1782.0
29-11-2013,325.160004,1068.363,0.1047,1782.22
2-12-2013,324.100006,1019.7896599999999,0.101,1782.59
3-12-2013,319.130005,1028.845,0.1026,1785.03
4-12-2013,317.23999,1071.2848,0.1025,1786.54
5-12-2013,314.410004,1139.33083,0.103,1787.87
6-12-2013,316.5,1004.6163300000001,0.1041,1790.29
9-12-2013,317.149994,841.83966,0.1037,1790.62
10-12-2013,314.910004,916.7759900000001,0.1021,1791.53
11-12-2013,313.299988,967.4286599999999,0.1015,1792.5
12-12-2013,310.23999,866.2900300000001,0.1013,1792.81
13-12-2013,309.75,911.23204,0.1,1794.19
16-12-2013,313.640015,868.9531599999999,0.1017,1795.15
17-12-2013,311.309998,653.80483,0.1018,1795.85
18-12-2013,313.98999,654.0626599999999,0.1021,1797.02
19-12-2013,318.190002,553.69166,0.102,1798.18
20-12-2013,321.140015,693.05883,0.1018,1799.84
23-12-2013,323.399994,647.6831599999999,0.1011,1800.9
27-12-2013,327.679993,758.0101599999999,0.096,1802.75
30-12-2013,327.130005,752.8202200000001,0.096,1804.76
3-1-2014,327.640015,804.02719,0.095,1807.23
6-1-2014,326.980011,970.65083,0.0945,1808.37
7-1-2014,329.399994,962.4644699999999,0.0926,1809.6
8-1-2014,329.75,855.7593300000001,0.0925,1810.65
9-1-2014,328.410004,860.8416599999999,0.0919,1815.69
10-1-2014,329.950012,847.5325,0.0918,1818.32
13-1-2014,330.72000099999997,873.2716800000001,0.0921,1819.2
14-1-2014,331.230011,863.69888,0.0921,1819.26
15-1-2014,334.51001,853.25666,0.09,1819.75
16-1-2014,333.98999,874.07416,0.0896,1826.77
17-1-2014,335.820007,842.1917300000001,0.0886,1827.99
21-1-2014,335.76001,873.2891599999999,0.0896,1828.46
22-1-2014,336.059998,874.13266,0.0901,1828.75
23-1-2014,332.690002,864.56116,0.0898,1829.08
24-1-2014,324.75,838.14997,0.0887,1829.83
27-1-2014,322.019989,887.08337,0.0866,1830.61
28-1-2014,324.22000099999997,830.53133,0.0851,1831.37
29-1-2014,322.390015,832.89496,0.0847,1831.98
30-1-2014,323.320007,832.87399,0.085,1833.08
31-1-2014,322.519989,841.48914,0.0862,1833.32
3-2-2014,318.209991,856.0336599999999,0.0855,1836.25
4-2-2014,317.579987,847.70697,0.085,1837.49
5-2-2014,318.040009,844.28836,0.085,1837.88
6-2-2014,322.769989,802.75333,0.085,1838.13
7-2-2014,325.089996,748.43559,0.0856,1838.63
10-2-2014,325.299988,700.44843,0.0856,1838.7
11-2-2014,329.519989,694.3125,0.085,1838.88
12-2-2014,332.0,665.7975,0.0865,1839.78
13-2-2014,331.480011,645.615,0.086,1840.76
14-2-2014,333.320007,578.4125,0.0856,1841.07
18-2-2014,334.600006,634.99,0.084,1841.13
19-2-2014,334.940002,618.79,0.0861,1841.4
20-2-2014,334.77999900000003,619.8425,0.0865,1842.02
21-2-2014,336.089996,545.7625,0.0865,1842.37
24-2-2014,338.190002,572.7675,0.0874,1842.98
25-2-2014,338.390015,501.155,0.0876,1843.8
26-2-2014,337.700012,550.6025,0.0882,1844.86
27-2-2014,337.209991,573.1025,0.0887,1845.04
28-2-2014,338.019989,567.2925,0.09,1845.12
3-3-2014,330.359985,567.7,0.0878,1845.16
4-3-2014,337.149994,666.1475,0.0883,1845.73
5-3-2014,337.059998,660.84,0.0879,1845.89
6-3-2014,337.27999900000003,662.0225,0.0876,1846.34
7-3-2014,333.059998,651.285,0.0877,1847.61
10-3-2014,331.399994,637.615,0.0901,1848.36
11-3-2014,331.48999,626.0,0.0885,1848.38
12-3-2014,327.950012,633.7474900000001,0.0889,1849.04
13-3-2014,324.51001,631.755,0.0879,1851.86
14-3-2014,322.230011,636.4141400000001,0.0878,1851.96
17-3-2014,325.829987,630.34833,0.0886,1852.21
18-3-2014,327.929993,617.24333,0.0885,1852.56
19-3-2014,327.630005,616.86665,0.089,1853.44
20-3-2014,327.670013,601.015,0.0885,1854.29
21-3-2014,327.910004,581.3333299999999,0.0905,1857.44
24-3-2014,324.390015,557.16833,0.0903,1857.62
25-3-2014,328.570007,573.34998,0.0904,1858.83
26-3-2014,330.929993,572.4916099999999,0.0903,1859.33
27-3-2014,331.399994,570.54833,0.0908,1859.45
28-3-2014,333.76001,509.70665,0.0899,1860.77
31-3-2014,334.309998,472.4783,0.0855,1862.31
1-4-2014,336.350006,464.88,0.0884,1862.49
2-4-2014,336.929993,480.16580999999996,0.0874,1862.76
3-4-2014,337.25,427.87498,0.0881,1863.4
4-4-2014,339.179993,432.99715999999995,0.0884,1864.78
7-4-2014,334.959991,456.46948,0.0865,1864.85
8-4-2014,333.890015,452.81,0.0885,1865.09
9-4-2014,335.160004,450.48082999999997,0.0886,1865.62
10-4-2014,333.410004,426.98332999999997,0.0885,1866.52
11-4-2014,328.769989,374.59166,0.087,1867.61
14-4-2014,329.790009,409.03166,0.087,1867.63
15-4-2014,326.579987,455.28315999999995,0.088,1867.72
16-4-2014,330.820007,517.0966599999999,0.0907,1868.2
17-4-2014,332.429993,522.455,0.0905,1868.99
22-4-2014,337.02999900000003,497.65000999999995,0.0915,1870.85
23-4-2014,335.049988,487.84,0.0898,1871.89
24-4-2014,336.130005,487.11332999999996,0.0889,1872.01
25-4-2014,333.5,469.08815999999996,0.0897,1872.18
28-4-2014,334.130005,426.78166,0.0895,1872.25
29-4-2014,338.119995,432.60497999999995,0.0882,1872.34
30-4-2014,337.890015,444.85668,0.0876,1872.83
2-5-2014,337.76001,453.59833,0.0885,1873.91
5-5-2014,336.890015,432.78747999999996,NaN,1874.74
6-5-2014,336.040009,418.61831,0.0905,1875.39
7-5-2014,336.02999900000003,428.42593,0.0891,1875.63
8-5-2014,339.559998,442.57665999999995,0.0885,1877.03
9-5-2014,338.540009,439.04,0.0886,1877.08
12-5-2014,340.959991,434.27,0.0894,1877.17
13-5-2014,341.890015,437.0,0.0898,1877.7
