Date,LIBOR
1-10-2013,0.105
2-10-2013,0.1051
3-10-2013,0.1032
4-10-2013,0.1013
7-10-2013,0.1022
8-10-2013,0.1018
9-10-2013,0.1022
10-10-2013,0.1065
11-10-2013,0.1038
14-10-2013,.
15-10-2013,0.1048
16-10-2013,0.1069
17-10-2013,0.1077
18-10-2013,0.109
21-10-2013,0.1066
22-10-2013,0.1051
23-10-2013,0.1051
24-10-2013,0.1026
25-10-2013,0.1024
28-10-2013,0.1033
29-10-2013,0.1035
30-10-2013,0.1024
31-10-2013,0.1037
1-11-2013,0.0999
4-11-2013,0.1014
5-11-2013,0.1024
6-11-2013,0.1023
7-11-2013,0.1017
8-11-2013,0.1021
11-11-2013,.
12-11-2013,0.1006
13-11-2013,0.1012
14-11-2013,0.1017
15-11-2013,0.1049
18-11-2013,0.1063
19-11-2013,0.1037
20-11-2013,0.1036
21-11-2013,0.1031
22-11-2013,0.1028
25-11-2013,0.1041
26-11-2013,0.1033
27-11-2013,0.1029
28-11-2013,.
29-11-2013,0.1047
2-12-2013,0.101
3-12-2013,0.1026
4-12-2013,0.1025
5-12-2013,0.103
6-12-2013,0.1041
9-12-2013,0.1037
10-12-2013,0.1021
11-12-2013,0.1015
12-12-2013,0.1013
13-12-2013,0.1
16-12-2013,0.1017
17-12-2013,0.1018
18-12-2013,0.1021
19-12-2013,0.102
20-12-2013,0.1018
23-12-2013,0.1011
24-12-2013,0.1007
25-12-2013,.
26-12-2013,.
27-12-2013,0.096
30-12-2013,0.096
31-12-2013,0.0795
1-1-2014,.
2-1-2014,0.0956
3-1-2014,0.095
6-1-2014,0.0945
7-1-2014,0.0926
8-1-2014,0.0925
9-1-2014,0.0919
10-1-2014,0.0918
13-1-2014,0.0921
14-1-2014,0.0921
15-1-2014,0.09
16-1-2014,0.0896
17-1-2014,0.0886
20-1-2014,.
21-1-2014,0.0896
22-1-2014,0.0901
23-1-2014,0.0898
24-1-2014,0.0887
27-1-2014,0.0866
28-1-2014,0.0851
29-1-2014,0.0847
30-1-2014,0.085
31-1-2014,0.0862
3-2-2014,0.0855
4-2-2014,0.085
5-2-2014,0.085
6-2-2014,0.085
7-2-2014,0.0856
10-2-2014,0.0856
11-2-2014,0.085
12-2-2014,0.0865
13-2-2014,0.086
14-2-2014,0.0856
17-2-2014,.
18-2-2014,0.084
19-2-2014,0.0861
20-2-2014,0.0865
21-2-2014,0.0865
24-2-2014,0.0874
25-2-2014,0.0876
26-2-2014,0.0882
27-2-2014,0.0887
28-2-2014,0.09
3-3-2014,0.0878
4-3-2014,0.0883
5-3-2014,0.0879
6-3-2014,0.0876
7-3-2014,0.0877
10-3-2014,0.0901
11-3-2014,0.0885
12-3-2014,0.0889
13-3-2014,0.0879
14-3-2014,0.0878
17-3-2014,0.0886
18-3-2014,0.0885
19-3-2014,0.089
20-3-2014,0.0885
21-3-2014,0.0905
24-3-2014,0.0903
25-3-2014,0.0904
26-3-2014,0.0903
27-3-2014,0.0908
28-3-2014,0.0899
31-3-2014,0.0855
1-4-2014,0.0884
2-4-2014,0.0874
3-4-2014,0.0881
4-4-2014,0.0884
7-4-2014,0.0865
8-4-2014,0.0885
9-4-2014,0.0886
10-4-2014,0.0885
11-4-2014,0.087
14-4-2014,0.087
15-4-2014,0.088
16-4-2014,0.0907
17-4-2014,0.0905
18-4-2014,.
21-4-2014,.
22-4-2014,0.0915
23-4-2014,0.0898
24-4-2014,0.0889
25-4-2014,0.0897
28-4-2014,0.0895
29-4-2014,0.0882
30-4-2014,0.0876
1-5-2014,0.088
2-5-2014,0.0885
5-5-2014,.
6-5-2014,0.0905
7-5-2014,0.0891
8-5-2014,0.0885
9-5-2014,0.0886
12-5-2014,0.0894
13-5-2014,0.0898
14-5-2014,0.0879
15-5-2014,0.0893
16-5-2014,0.0884
19-5-2014,0.0875
20-5-2014,0.0879
21-5-2014,0.088
22-5-2014,0.0883
23-5-2014,0.0877
26-5-2014,.
27-5-2014,0.0884
28-5-2014,0.0885
29-5-2014,0.0875
30-5-2014,0.0866
2-6-2014,0.089
3-6-2014,0.088
4-6-2014,0.09
5-6-2014,0.0925
6-6-2014,0.0909
